label,method,target_gain,preservation_damage
1,fixed,0.7017733554567894,0.25063681195469867
1,gp,0.04340520645598781,0.2111222731263455
2,fixed,0.6144148156226459,0.5220081126686545
2,gp,0.589120988271208,0.5584042217528625
3,fixed,0.7942635320938912,0.5683833659962114
3,gp,0.7541129895597896,0.46557334550950835
4,fixed,0.7742801717520751,0.08361113469810205
4,gp,0.029250980158335143,0.14466288470447558
5,fixed,0.6053229007562884,0.6299467098238216
5,gp,0.5692188854038153,0.5955957226558533
7,fixed,0.7231563656676527,0.22676783647653623
7,gp,-0.002116998052971869,0.17702171700953093
